school,date,headline,author,url,Main topic,Section,Primary purpose,Scope,Student sources,Non-student sources,Controversial topics?,Dissenting voices (2+ opinions) (1=yes 2=maybe 3=no),Word count,Tags
CS Press,2021-10-06,Big Blue assembly brings spirit back to high school,Sarah Love,https://cactusshadowscspress.com/news/2021/10/06/big-blue-assembly-brings-spirit-back-to-high-school/,Community life,News,Spread awareness,School,2,0,No,3,419,"Community event, student life, school spirit"
CS Press,2021-10-06,Senior Assassins ‘kill’ for cash prizes once again,Judy Silva,https://cactusshadowscspress.com/uncategorized/2021/10/06/senior-assassins-kill-for-cash-prizes-once-again/,Community life,News,Spread awareness,School,2,1,No,3,546,"Community event, student life"
HHS Epitaph,2021-12-16,Police called to school in response to threatening email,Naomi Baron,https://hhsepitaph.com/12674/news/police-called-to-school-in-response-to-threatening-email/,Threats to student safety,News,Inform,School,0,1,Yes,3,327,"Violence, police, school threat, student safety"
HHS Epitaph,2021-12-14,California law requires new bell schedule with 8:30 a.m. start time,Naomi Baron,https://hhsepitaph.com/12665/news/california-law-requires-new-bell-schedule-with-830-a-m-start-time/,School policy/administration,News,Promote discourse,School,0,1,No,3,703,"State policy, school schedule"
HHS Epitaph,2021-12-14,Annual blacklight rally shifts to outdoor whiteout rally,Aiko Charon,https://hhsepitaph.com/12661/news/annual-blacklight-rally-shifts-to-outdoor-whiteout-rally/,Community life,News,Spread awareness,School,3,0,No,3,339,"Community, school spirit, student life"
HHS Epitaph,2021-12-12,NEHS hosts first book drive to aid readers in need,Ariana Tejeda Moreno,https://hhsepitaph.com/12644/news/nehs-hosts-first-book-drive-to-aid-readers-in-need/,Community life,News,Spread awareness,School,3,0,No,3,385,"Club, extracurricular, student life"
HHS Epitaph,2021-11-30,Looking back on Job Shadow Day,Nicole Kim,https://hhsepitaph.com/12499/news/looking-back-on-job-shadow-day/,Community life,News,Spread awareness,School,1,3,No,3,664,"Club, extracurricular, student life, career"
HHS Epitaph,2021-11-13,"PTSA, ASB organize food drive, distribution",Nicole Kim,https://hhsepitaph.com/12447/news/ptsa-and-asb-organize-food-drive-and-distribution/,Community life,News,Spread awareness,School,0,3,No,3,467,"Club, extracurricular, student life, community service, community"
HHS Epitaph,2021-11-05,Quad celebration replaces traditional homecoming dance,Madhavi Karthik,https://hhsepitaph.com/12404/news/quad-celebration-replaces-traditional-homecoming-dance/,Community life,News,Spread awareness,School,4,0,No,3,445,"Student life, student government, social life"
HHS Epitaph,2021-10-11,Impact of climate change felt at Homestead through local wildfires,Keshav Kumar,https://hhsepitaph.com/12289/news/impact-of-climate-change-felt-at-homestead-through-local-wildfires/,School policy/administration,News,Inform,School,2,1,Yes,3,502,"Climate change, wildfires, extracurriculars, school policy"
HHS Epitaph,2021-10-01,FUHSD adapts learning recovery options for students,Keshav Kumar,https://hhsepitaph.com/12172/news/fuhsd-adapts-learning-recovery-options-for-students/,School policy/administration,News,Inform,Local,0,3,Yes,3,769,"School reopening, learning loss, distance learning, Newsom, school policy, district policy"
HHS Epitaph,2021-09-17,"Students, administration reflect on advisory",Nicole Kim,https://hhsepitaph.com/12101/news/students-administration-reflect-on-advisory/,Socio-political issues and school culture,News,Promote discourse,School,3,2,Yes,2,723,"School culture, social justice, student voice, racism, LGBTQ+ issues"
El Estoque,2021-12-10,Out for Safe Schools comes to MVHS,,https://elestoque.org/2021/12/10/news/out-for-safe-schools-comes-to-mvhs/,Socio-political issues and school culture,News,Promote discourse,School,1,2,Yes,2,648,"Gender, LGBTQ+, faculty, sexuality, equality, belonging"
El Estoque,2021-11-14,Grade distribution analysis from the first progress report,Melody Cui and Krish Dev,https://elestoque.org/2021/11/14/news/grade-distribution-analysis-from-the-first-progress-report/,School policy/administration,News,Promote discourse,School,0,4,Yes,2,1085,"School policy, grading, curriculum, academics, COVID, pandemic, distance learning"
El Estoque,2021-10-30,The rise in high school gun violence,Jisha Rajala and Alex Zhang,https://elestoque.org/2021/10/30/news/the-rise-in-high-school-gun-violence/,Threats to student safety,News,Inform,School,2,1,Yes,1,417,"Violence, student life, gun violence, shooting"
El Estoque,2021-10-27,Via-Cupertino rideshare returns as pandemic restrictions loosen,Melody Cui,https://elestoque.org/2021/10/27/news/via-cupertino-rideshare-returns-as-pandemic-restrictions-loosen/,Community life,News,Inform,Local,0,1,No,3,443,"Community life, transportation, city life, "
El Estoque,2021-10-24,Bike lane separation on McClellan Road named “project of the year”,Tanish Mendki and Melody Cui,https://elestoque.org/2021/10/24/news/bike-lane-separation-on-mcclellan-road-named-project-of-the-year/,Community life,News,Inform,Local,0,2,No,3,514,"Community life, transportation, city life, "
El Estoque,2021-10-03,Staff baby boom leads to long-term substitutes,Devin Gupta and Jisha Rajala,https://elestoque.org/2021/10/03/news/staff-baby-boom-leads-to-long-term-substitutes/,School policy/administration,News,Promote discourse,School,1,2,Yes,3,514,"COVID, faculty, sick leave, paid time off, school finances, remote work, maternity, pregnancy"
El Estoque,2021-10-01,BREAKING: Los Altos High School bomb threat threatens Homecoming football game,Devin Gupta and Lance Tong,https://elestoque.org/2021/10/01/news/breaking-los-altos-hs-bomb-threat/,Threats to student safety,News,Inform,School,1,2,Yes,1,263,"Violence, bomb, threat, evacuation"
El Estoque,2021-09-29,Color Guard transitions to in-person practices,Nameek Chowdhury and Jisha Rajala,https://elestoque.org/2021/09/29/news/color-guard-transitions-to-in-person-practices/,Community life,News,Spread awareness,School,3,0,No,3,617,"COVID, extracurricular, student life, sports, clubs"
El Estoque,2021-09-26,FUHSD implements on-campus COVID-19 procedures,"Devin Gupta, Managing and Web Editor",https://elestoque.org/2021/09/26/news/fuhsd-implements-on-campus-covid-19-procedures/,School policy/administration,News,Inform,Local,1,2,Yes,2,702,"COVID, COVID policy, testing, masking, social distancing, pandemic policy, vaccine, case count"
El Estoque,2021-09-26,Free lunch explained,"Krish Dev, Website Editor",https://elestoque.org/2021/09/26/news/free-lunch-explained/,School policy/administration,News,"Inform, promote discourse ",School,2,1,Yes,1,800,"COVID, COVID policy, testing, masking, social distancing, pandemic policy, case count, school policy, school lunch, free and reduced lunch"
El Estoque,2021-09-25,Opting out of queer literature,Shivani Madhan and Aashi Venkat,https://elestoque.org/2021/09/25/news/opting-out-of-queer-literature/,School policy/administration,News,Promote discourse,School,2,2,Yes,1,747,"Curriculum, LGBTQ+, queer literature, academic policy, discrimination"
El Estoque,2021-09-25,Letter of recommendation season is here,"Gavin Hung, Staff Writer",https://elestoque.org/2021/09/25/news/letter-of-recommendation-season-is-here/,School policy/administration,News,Promote discourse,School,2,1,No,2,438,"College admissions, student life, academics"
El Estoque,2021-09-25,Leaders grapple with COVID-19 restrictions,Jefferson Le,https://elestoque.org/2021/09/25/news/leaders-grapple-with-covid-19-restrictions/,Community life,News,Spread awareness,School,3,0,Yes,2,608,"Student life, social life, homecoming, student leadership, COVID-19, COVID, COVID restrictions, vaccination "
El Estoque,2021-09-22,Discord music bot Groovy shuts down,Minjae Kang,https://elestoque.org/2021/09/22/news/discord-music-bot-groovy-shuts-down/,Community life,News,Inform,State/national/world,3,0,No,3,1000,"Student life, technology, social media"
The Feather,2021-12-15,What are GMOs and how to avoid them,,https://www.thefeather.com/2021/12/15/what-are-gmos-and-how-to-avoid-them/,Reactions to broader politics/events,News,Inform,State/national/world,0,2,No,No,821,"GMOs, cultural comment"
The Feather,2021-12-13,Silas Emerian amongst fastest speed cubers in the West,,https://www.thefeather.com/2021/12/13/silas-emerian-amongst-fastest-speed-cubers-in-the-west/,Community life,News,Spread awareness,School,1,0,No,No,369,"Student life, student success, award"
The Feather,2021-12-03,Promo: Clovis Children’s Electric Christmas Parade,,https://www.thefeather.com/2021/12/03/promo-clovis-childrens-electric-christmas-parade/,Community life,News,Spread awareness,Local,1,1,No,No,186,"Community life, events"
The Feather,2021-10-29,KNP Complex Fire takes over Sequoia National Park,,https://www.thefeather.com/2021/10/29/knp-complex-fire-takes-over-sequoia-national-park/,Reactions to broader politics/events,News,Spread awareness,Local,0,2,No,No,887,Natural disasters
The Feather,2021-10-16,Benefits of taking the PSAT,,https://www.thefeather.com/2021/10/16/benefits-of-taking-the-psat/,School policy/administration,News,Promote discourse,School,3,1,No,No,719,"Testing, SAT, assessments"
The Feather,2021-09-28,"New school year brings new students, staff to campus
",,https://www.thefeather.com/2021/09/28/new-school-year-brings-new-students-staff-to-campus/,Community life,News,Spread awareness,School,3,4,No ,No,690,"COVID, COVID policy, student life, school policy"
The Feather,2021-09-25,"Homecoming for Humanity: 36th annual homecoming
",,https://www.thefeather.com/2021/09/24/homecoming-for-humanity-36th-annual-homecoming/,Community life,News,Spread awareness,School,3,3,No,No,1641,"Homecoming, student life, school culture, social life"
The Gazette,2021-12-20,GBHS substance abuse,"Zoie Walker, Ryan Kim, and Ryan Egan",https://granitebaytoday.org/gbhs-substance-abuse/,Socio-political issues and school culture,News,Promote discourse,School,1,2,Yes,2,1325,"Drugs, student drug use, alcohol, smoking, marijuana, drug abuse, student life"
The Gazette,2021-12-08,Sacramento welcomes Afghan refugees,"Amre Abumarkhieh, Staff Writer",https://granitebaytoday.org/sacramento-welcomes-afghan-refugees/,Community life,News,Promote discourse,Local,1,1,No,3,1066,"Refugees, Afghanistan, Taliban, Islam, faith"
The Gazette,2021-12-02,Every 15 Minutes Recap,"Justin Ha, Mahalina Vaka, Reagan Allen, and Sophie Nguyen",https://granitebaytoday.org/every-15-minutes-recap/,Threats to student safety,News,Spread awareness,School,5,3,Yes,2,1592,"Alcohol, driving under the influence, student safety, death"
The Gazette,2021-11-17,Peacefully protesting the way to justice for survivors of sexual assault,"Ria Dhamejani, Co-Editor-in-Chief",https://granitebaytoday.org/peacefully-protesting-the-way-to-justice-for-survivors-of-sexual-assault/,Socio-political issues and school culture,News,Accountability,School,2,1,Yes,1,721,"Sexual assault, sexual violence, protest, student activism, criticizing administration"
The Gazette,2021-11-10,UC Blues: The strenuous standards of California’s colleges,"Ryan Egan, Staff Writer",https://granitebaytoday.org/uc-blues-the-strenuous-standards-of-californias-colleges/,Community life,News,Promote discourse,School,2,1,No,3,513,"College, student culture, student stress, college admissions"
The Gazette,2021-11-10,My child my choice: Parents debate vaccine mandate in schools,"Elise Fisher, Assistant Editor",https://granitebaytoday.org/my-child-my-choice-parents-debate-vaccine-mandate-in-schools/,School policy/administration,News,Promote discourse,Local,2,1,Yes,1,1359,"COVID, vaccine, vaccine mandate"
The Gazette,2021-11-09,The Emerald Brigade: Metronomes and Time Management,"Kate Rowberry, Intro Staff Writer",https://granitebaytoday.org/the-emerald-brigade-metronomes-and-time-management/,Community life,News,Spread awareness,School,2,2,No,3,525,"Student life, extracurriculars, band"
The Gazette,2021-10-30,Kaiser engineers going on strike turns into a month-long standstill,"Justin Ha, Co-Editor-in-Chief",https://granitebaytoday.org/kaiser-engineers-going-on-strike-turns-into-a-month-long-standstill/,Reactions to broader politics/events,News,Spread awareness,Local,0,2,No,3,476,"Labor, pay, strike, workers' union"
The Gazette,2021-10-28,“Devious lick” trend on school campuses,"Antonio Sperandeo, Staff Writer",https://granitebaytoday.org/devious-lick-trend-on-school-campuses/,Socio-political issues and school culture,News,Promote discourse,School,1,2,Yes,2,589,"Devious lick, student theft, vandalism, student behavior, misbehavior"
The Gazette,2021-10-27,Race-based clubs on campus help forge connections,"Saihaj Cheema, Staff Writer",https://granitebaytoday.org/raced-based-clubs-on-campus-help-forge-connections/,Socio-political issues and school culture,News,Spread awareness,School,3,0,Yes,3,552,"Race, diversity, school culture, student life, extracurriculars, affinity group"
The Gazette,2021-10-26,Rise of fentanyl poisonings in Placer County youth concerns local experts,"Sarah Yee, Sports and Entertainment Editor",https://granitebaytoday.org/rise-in-fentanyl-poisonings-in-placer-county-youth-raise-community-concerns/,Socio-political issues and school culture,News,Promote discourse,Local,0,4,No,3,1116,"Drug use, addiction, fentanyl, drug overdose, community life"
The Gazette,2021-10-15,GBHS’s food waste epidemic: Do free lunches mean extra waste?,"Saihaj Cheema, Staff Writer",https://granitebaytoday.org/gbhss-food-waste-epidemic-do-free-lunches-mean-extra-waste/,Socio-political issues and school culture,News,Accountability,School,2,1,No,2,590,"Student life, school lunch, food waste"
The Gazette,2021-10-14,Reflecting on post-COVID-19 education,"Kate Rowberry, Intro Staff Writer",https://granitebaytoday.org/reflecting-on-post-covid-19-education/,School policy/administration,News,Promote discourse,School,2,2,Yes,3,619,"COVID, distance learning, in-person learning"
The Gazette,2021-10-13,Open the gates! (at 8:30),"Sophie Nguyen, Intro Staff Writer",https://granitebaytoday.org/open-the-gates-at-830/,School policy/administration,News,Inform,School,2,3,No,3,859,School schedule
The Gazette,2021-10-04,Employee drought leaves local businesses understaffed and unprepared,"Justin Ha, Co-Editor-in-Chief",https://granitebaytoday.org/employee-drought-leaves-local-businesses-understaffed-and-unprepared/,Reactions to broader politics/events,News,Promote discourse,Local,0,3,No,3,990,"Local businesses, COVID, labor"
The Gazette,2021-09-16,The Delta variant brings mask exemption tension to the forefront,"Sarah Yee, Sports and Entertainment Editor",https://granitebaytoday.org/the-delta-variant-brings-mask-exemption-tension-to-the-forefront/,School policy/administration,News,Promote discourse,Local,0,4,Yes,2,1027,"COVID, masking, masks, mask exemption"
The Gazette,2021-09-13,The jab and Jesus: religion lands a leading role in vaccination efforts,"Elise Fisher, Assistant Editor",https://granitebaytoday.org/the-jab-and-jesus-religion-lands-a-leading-role-in-vaccination-efforts/,School policy/administration,News,Promote discourse,Local,0,3,Yes,1,1256,"COVID, vaccine, religion, abortion"
The Gazette,2021-09-05,Kevin Kiley: Granite Bay Grizzly gunning for governor,"Justin Ha, Co-Editor-in-Chief",https://granitebaytoday.org/kevin-kiley-granite-bay-grizzly-gunning-for-governor/,Community life,News,Spread awareness,Local,0,1,No,3,764,"Politics, alumni, governor"
Paly Voice,2021-11-21,Annual Turkey Feast returns to campus,"Jason Lin, Jonathan Chen, and Avi Srinivasan",https://palyvoice.com/164104/news/annual-turkey-feast-returns-to-campus/,Community life,News,Spread awareness,School,3,1,No,3,340,"Student culture, events, COVID"
Paly Voice,2021-11-17,Students shocked after Travis Scott music festival tragedy,Payton Anderson and Tara Kapoor,https://palyvoice.com/163945/news/students-shocked-after-travis-scott-music-festival-tragedy/,Reactions to broader politics/events,News,Promote discourse,State/national/world,3,0,No,3,612,"Culture, violence, astroworld"
Paly Voice,2021-11-15,Junior Museum and Zoo reopening sparks excitement,"Leena Hussein, Maya Mukherjee, and Abhinav Ranganathan",https://palyvoice.com/163989/news/junior-museum-and-zoo-reopening-sparks-excitement/,Reactions to broader politics/events,News,Spread awareness,State/national/world,2,2,No,3,479,"Community life, city attraction, COVID, reopening, business, zoo"
Paly Voice,2021-11-10,Film Club hosts student-made horror shorts,"Jonathan Chen, Sports Editor",https://palyvoice.com/163913/features/film-club-hosts-student-made-horror-shorts/,Community life,News,Spread awareness,School,4,0,No,3,398,"Extracurriculars, club, student life"
Paly Voice,2021-11-04,Preview: ‘The Illusion’ opens Friday,Arohi Bhattacharya and Emily Yun,https://palyvoice.com/163840/news/preview-the-illusion-opens-friday/,Community life,News,Spread awareness,School,5,0,No,3,689,"Extracurriculars, club, student life"
Paly Voice,2021-10-31,ASB festivities reignite Halloween spirit,"Payton Anderson, Leena Hussein , and Jonathan Chen",https://palyvoice.com/163741/news/asb-festivities-reignite-halloween-spirit/,Community life,News,Spread awareness,School,4,0,No,3,705,"Student life, COVID, social life, Halloween"
Paly Voice,2021-10-28,Heavy rain prompts discussion over lunch protocol,Sofie Zalatimo and Maia Johnsson,https://palyvoice.com/163707/news/heavy-rain-prompts-discussion-over-lunch-protocol/,School policy/adminstration,News,Promote discourse,School,3,2,Yes,2,562,"COVID, lunch, school policy, administrative criticism"
Paly Voice,2021-10-26,Choir returns to in-person concerts,Maia Johnsson and Jonathan Chen,https://palyvoice.com/163589/news/choir-returns-to-in-person-concerts/,Community life,News,Spread awareness,School,2,1,No,3,320,"COVID, arts, student life, extracurriculars"
Paly Voice,2021-10-25,Atmospheric river passes through campus,"Jason Lin, News Editor",https://palyvoice.com/163564/news/atmospheric-river-passes-through-campus/,Reactions to broader politics/events,News,Inform,Local,1,1,No,3,278,Weather
Paly Voice,2021-10-21,Teachers say they were not consulted about district homework policy revisions,William Rumelhart and Maya Mukherjee,https://palyvoice.com/163109/editorspick/teachers-say-they-were-not-consulted-about-district-homework-policy-revisions/,School policy/adminstration,News,Promote discourse,School,0,4,Yes,1,804,"Assessment, homework, student stress, teacher, administrator complaint, homework policy"
Paly Voice,2021-10-16,ASB to host outdoor Homecoming dance tonight,Sofie Zalatimo and Leena Hussein,https://palyvoice.com/163441/news/asb-to-host-outdoor-homecoming-dance-tonight/,Community life,News,Spread awareness,School,4,0,No,3,705,"Student life, COVID, social life"
Paly Voice,2021-10-15,School spirit scrambled during Thursday lunch rally,Leena Hussein and Maya Mukherjee,https://palyvoice.com/163344/editorspick/school-spirit-scrambled-during-thursday-lunch-rally/,Community life,News,Spread awareness,School,4,0,No,3,554,"Student life, COVID, social life"
Paly Voice,2021-10-14,Point incentives prompt clean-up,"Payton Anderson, Jason Lin, and Maia Johnsson",https://palyvoice.com/163354/news/point-incentives-prompt-clean-up/,Socio-political issues and school culture,News,Accountability,School,2,2,Yes,1,634,"Vandalism, littering, student behavior, suspension, student discipline"
Paly Voice,2021-10-14,Breaking: Admin responds to egg fight between seniors and juniors,"Brennen Ho, News Editor and Webmaster",https://palyvoice.com/163325/multimedia/breaking-admin-responds-to-egg-fight-between-seniors-and-juniors/,Socio-political issues and school culture,News,Inform,School,0,0,Yes,3,164,"Vandalism, littering, student behavior, suspension, student discipline"
Paly Voice,2021-10-14,Freshmen maintain lead over sophomores at Color Day rally,"Madison Abbassi, Daniel Garepis-Holland, and Ash Mehta",https://palyvoice.com/163291/multimedia/freshmen-maintain-lead-over-sophomores-at-color-day-rally/,Community life,News,Spread awareness,School,4,1,No,3,613,"Student life, school spirit"
Paly Voice,2021-10-12,First rally kicks off Spirit Week,"Payton Anderson, News Editor",https://palyvoice.com/163204/news/first-rally-kicks-off-spirit-week/,Community life,News,Spread awareness,School,5,0,No,3,586,"Student life, school spirit"
Paly Voice,2021-10-12,Spirit Week float building underway,Benjamin Grimes and Avi Srinivasan,https://palyvoice.com/163171/news/spirit-week-float-building-underway/,Community life,News,Spread awareness,School,3,0,,,322,"Student life, school spirit"
Paly Voice,2021-10-12,Teen Arts Council hosts Open Mic Night,Payton Anderson and Jonathan Chen,https://palyvoice.com/163140/news/teen-arts-council-hosts-open-mic-night/,Community life,News,Spread awareness,Local,4,0,No,3,629,"Events, community life, open mic, arts"
Paly Voice,2021-10-12,Admin clarifies new PRIME system,"Brennen Ho, News Editor and Webmaster",https://palyvoice.com/163001/features/admin-clarifies-new-prime-system/,School policy/adminstration,News,Inform,School,2,1,No,2,582,"Academics, course registration, classes, logistics, confusion"
Paly Voice,2021-10-06,ASB adapts Spirit Week to COVID-19 restrictions,Brennen Ho and Emily Yun,https://palyvoice.com/163035/news/asb-adapts-spirit-week-to-covid-19-restrictions/,Community life,News,Spread awareness,School,4,0,No,3,447,"School spirit, student life, student social life, school culture"
Paly Voice,2021-10-05,PAUSD to host virtual Job Fair for students,"
Arohi Bhattacharya and Emily Yun",https://palyvoice.com/163013/news/pausd-to-host-virtual-job-fair-for-students/,Community life,News,Spread awareness,Local,0,1,No,3,449,"Career, events"
Paly Voice,2021-09-30,District faces counselor shortage while prioritizing mental health,Arohi Bhattacharya and Sofie Zalatimo,https://palyvoice.com/162919/news/district-faces-counselor-shortage-while-prioritizing-mental-health/,Socio-political issues and school culture,News,Promote discourse,School,1,2,Yes,1,1049,"Student mental health, staff, COVID"
Paly Voice,2021-09-16,New clubs strengthen Paly community,Payton Anderson,https://palyvoice.com/162635/features/new-clubs-strengthen-paly-community/,Community life,News,Spread awareness,School,6,0,No,3,936,"Clubs, extracurriculars, student life"
Paly Voice,2021-09-14,Meet the freshman ASB officers,,https://palyvoice.com/162446/news/meet-the-freshman-asb-officers/,Community life,News,Inform,School,2,0,No,3,504,"Student government, student life, profile"
Paly Voice,2021-09-14,Students react to Palo Alto High School’s free lunch program,,https://palyvoice.com/162661/news/students-react-to-palo-alto-high-schools-free-lunch-program/,School policy/adminstration,News,Promote discourse,School,4,1,No,2,600,"Free lunch, school lunch, district policy"
Paly Voice,2021-09-13,PAEA revises calendar as smoke complicates COVID protocol,,https://palyvoice.com/162448/news/paea-revises-calendar-as-smoke-complicates-covid-protocol/,School policy/adminstration,News,Promote discourse,School,0,3,Yes,1,749,"COVID, COVID policy, wildfires, student safety, masking"
Paly Voice,2021-09-09,Supt. Austin: “We’re going to stay open”,,https://palyvoice.com/162455/news/supt-austin-were-going-to-stay-open/,School policy/adminstration,News,Inform,Local,0,1,Yes,3,378,"COVID, COVID policy, remote learning, case count"
Paly Voice,2021-09-08,Teachers reflect on the first month of school,,https://palyvoice.com/162456/news/teachers-reflect-on-the-first-month-of-school/,Community life,News,Promote discourse,School,0,3,Yes,3,449,"COVID, COVID policy, in-person learning, remote learning, teachers"
Paly Voice,2021-09-07,"No outdoor mask mandate to come in high schools, says Supt. Austin",,https://palyvoice.com/162449/news/no-outdoor-mask-mandate-to-come-in-high-schools-says-supt-austin/,School policy/adminstration,News,Inform,Local,2,1,Yes,2,551,"COVID, COVID policy, masking"
The Lowell,2021-12-10,Failing to sleep,Kelcie Lee and Ashley Glancy,https://thelowell.org/10292/features/failing-to-sleep/,Socio-political issues and school culture,News,Promote discourse,School,4,1,Yes,2,1996,"Student stress, sleep deprivation, student mental health, academics"
The Lowell,2021-12-10,Work or worship,Chloe Chon,https://thelowell.org/10302/uncategorized/work-or-worship/,Socio-political issues and school culture,News,Promote discourse,School,3,2,Yes,2,1433,"Student stress, student mental health, academics, religion"
The Lowell,2021-10-15,"New person, in-person: How Lowell students are adjusting to in-person learning","Walker Whalen, Roman Fong, Jaxi Cohen, and Mella Bettag",https://thelowell.org/10066/news/new-person-in-person-how-lowell-students-are-adjusting-to-in-person-learning/,Socio-political issues and school culture,News,Promote discourse,School,2,2,Yes,2,1434,"COVID, distance learning, in-person learning, isolation, stress"
The Lowell,2021-10-06,"New year, new staff: Meet your new teachers, part 5","Walker Whalen, Anton Kox, and Isaac Olson",https://thelowell.org/10035/news/10035/,Community life,News,Spread awareness,School,0,3,No,3,1561,"Teachers, profiles"
The Lowell,2021-10-01,"New year, new staff: Meet your new teachers, part 4","Darren Chin, Madeleine Johnston, Karis Kotschnig, and Anton Kox",https://thelowell.org/9994/news/new-year-new-staff-meet-your-new-teachers-part-4-2/,Community life,News,Spread awareness,School,0,4,No,3,2127,"Teachers, profiles"
The Lowell,2021-10-01,How Lowellites are managing time with the new bell schedule,"Karis Kotschnig, Roman Fong, Jaxi Cohen, and Ryson Sun",https://thelowell.org/9998/features/how-lowellites-are-managing-time-with-the-new-bell-schedule/,School policy/administration,News,Promote discourse,School,3,0,No,2,339,"School policy, schedule"
HW Chronicle,2021-12-24,Administration announces COVID-19 safety measures for the return from winter break,Claire Conner and Lucas Cohen-d'Arbeloff,https://hwchronicle.com/103600/news/administration-announces-covid-19-safety-measures-for-the-return-from-winter-break/,School policy/administration,News,Inform,School,3,3,Yes,2,2519,"COVID, COVID policy, masking, vaccines, COVID testing"
HW Chronicle,2021-12-23,Bear Boxes Club hosts donation drive,Averie Perrin,https://hwchronicle.com/103513/news/bear-boxes-club-hosts-donation-drive/,Community life,News,Spread awareness,School,3,0,No,3,357,"Nonprofit, community outreach, events, club, extracurricular"
HW Chronicle,2021-12-20,CHO holds COVID booster vaccine clinic,Lucas Cohen-d'Arbeloff,https://hwchronicle.com/103611/news/cho-holds-covid-booster-vaccine-clinic/,School policy/administration,News,Spread awareness,School,3,0,No,3,301,"COVID, COVID vaccine, events"
